Timestamp,Moisture %,Relay Status
2025-09-09 17:32:16,80,OFF
2025-09-09 17:32:17,80,OFF
2025-09-09 17:32:17,80,OFF
2025-09-09 17:32:18,79,OFF
2025-09-09 17:32:18,79,OFF
2025-09-09 17:32:19,78,OFF
2025-09-09 17:32:19,78,OFF
2025-09-09 17:32:20,78,OFF
2025-09-09 17:32:20,78,OFF
2025-09-09 17:32:21,78,OFF
2025-09-09 17:32:21,78,OFF
2025-09-09 17:32:22,78,OFF
2025-09-09 17:32:22,77,OFF
2025-09-09 17:32:23,77,OFF
2025-09-09 17:32:23,77,ON
2025-09-09 17:32:24,77,ON
2025-09-09 17:32:24,78,ON
2025-09-09 17:32:25,78,OFF
2025-09-09 17:32:25,79,OFF
2025-09-09 17:32:26,79,OFF
2025-09-09 17:32:26,78,OFF
2025-09-09 17:32:27,78,OFF
2025-09-09 17:32:27,78,OFF
2025-09-09 17:32:28,78,OFF
2025-09-09 17:32:28,78,OFF
2025-09-09 17:32:29,78,OFF
2025-09-09 17:32:29,78,OFF
2025-09-09 17:32:30,78,OFF
2025-09-09 17:32:30,78,OFF
2025-09-09 17:32:31,78,OFF
2025-09-09 17:32:31,78,OFF
2025-09-09 17:32:32,82,OFF
2025-09-09 17:32:32,13,OFF
2025-09-09 17:32:33,0,OFF
2025-09-09 17:32:33,36,OFF
2025-09-09 17:32:34,93,OFF
2025-09-09 17:32:34,95,OFF
2025-09-09 17:32:35,94,OFF
2025-09-09 17:32:35,91,OFF
2025-09-09 17:32:36,89,OFF
2025-09-09 17:32:36,88,OFF
2025-09-09 17:32:37,87,OFF
2025-09-09 17:32:37,82,OFF
2025-09-09 17:32:38,82,OFF
2025-09-09 17:32:38,16,ON
2025-09-09 17:32:39,1,ON
2025-09-09 17:32:39,2,ON
2025-09-09 17:32:40,1,ON
2025-09-09 17:32:40,9,ON
2025-09-09 17:32:41,44,ON
2025-09-09 17:32:41,52,ON
2025-09-09 17:32:42,54,ON
2025-09-09 17:32:42,36,ON
2025-09-09 17:32:43,2,ON
2025-09-09 17:32:43,25,ON
2025-09-09 17:32:44,57,ON
2025-09-09 17:32:44,73,ON
2025-09-09 17:32:45,100,OFF
2025-09-09 17:32:45,100,OFF
2025-09-09 17:32:46,100,OFF
2025-09-09 17:32:46,89,OFF
2025-09-09 17:32:47,81,OFF
2025-09-09 17:32:47,78,OFF
2025-09-09 17:32:48,83,OFF
2025-09-09 17:32:48,91,OFF
2025-09-09 17:32:49,98,OFF
2025-09-09 17:32:49,100,OFF
2025-09-09 17:32:50,100,OFF
2025-09-09 17:32:50,74,OFF
2025-09-09 17:32:51,93,OFF
2025-09-09 17:32:51,100,OFF
2025-09-09 17:32:52,98,OFF
2025-09-09 17:32:52,97,OFF
2025-09-09 17:32:53,96,OFF
2025-09-09 17:32:53,95,OFF
2025-09-09 17:32:54,94,OFF
2025-09-09 17:32:54,94,OFF
2025-09-09 17:32:55,93,OFF
2025-09-09 17:32:55,93,OFF
2025-09-09 17:32:56,92,OFF
2025-09-09 17:32:56,92,OFF
2025-09-09 17:32:57,91,OFF
2025-09-09 17:32:57,91,OFF
2025-09-09 17:32:58,91,OFF
